titulo,departamento,precio,ubicacion,m2,habitaciones,banios,descripcion_1,descripcion_2,c_interiores,c_exteriores,entorno
"Casa en venta Chincha Baja, Chincha",90 casas en venta en Ica Departamento,"200,000","Chincha Baja, Ica","1,000m2",3 Habitaciones,2 Baños,"LINDA CASA DE CAMPO CON PRECIOSA ÁREA VERDE y ÁRBOLES FRUTALES 🔆🏡 ,  , 📍CONDOMINIO EL MOLINO en CHINCHA (a 20 minutos de Paracas) ,  , 📐 AT:  1.000 m2   AC: 110m2 ,       Proyección para 2do piso ,       $200.000 a tratar  ,  , Distribución : , 🔸 Jardines con Árboles frutales ya en producción  , 🔸 Sala y Comedor  , 🔸 Terraza techada   , 🔸 3 dormitorios  , 🔸 2 baños  , 🔸Cocina  , 🔸 Cocheras para 2 autos.  ,  , 📌 Antigüedad: 6 meses  , 📌 Condominio de 25 casas  , 📌 Seguri","dad privada , 📌 Áreas comunes con con piscina y juego para niños  , 📌 a solo 20 minutos de Paracas","Agua,Piscina","Estacionamientos,Terraza,Caseta de vigilancia,Seguridad privada",
"Casa en venta El Carmen, Chincha",90 casas en venta en Ica Departamento,"250,000","El Carmen, Chincha, Ica","3,000m2",3 Habitaciones,3 Baños,"Hola!👋 🪴VENDO‼️ , (NO ALQUILO)🌾🍃 , • , Cansados?🥱aburridos del bullicio de la ciudad tú y tu familia❓❓❓🤽‍♀️🏡 , • , Te ofrezco esta Casa de Campo de ensueño a PRECIO  , de OCASIÓN‼️💰 , UBICACIÓN: CONDOMINIO CAMPOS DE SAN JOSÉ , • , VENDO HERMOSA CASA DE CAMPO CON TODAS LAS COMODIDADES!🏡🍃Distrito SAN JOSÉ🍇🍇🍇CHINCHA  , FULL EQUIPADA Y AMOBLADA🪑🛋🛏 , • , 🔜 A.T. 3,000m2 , 🔜 A.C.  140 m2 , PRECIO: USD 250,000.-  , • , MUY LINDO CONDOMINIO DE 14 LOTES🏡🏘04 casas listas y una en construción⛺ , VENDO UNA DE ELLAS CON AMPLIOS JARDINES TOTALMENTE CERCADA🌴 , • , 🌿 Registrada en SUNARP  , 🌿 Antigüedad 05 años  , 🌿 Mantenimiento 336 soles ,       por cada lote (la casa ,      ocupa dos lotes) , 🌿 Seguridad 24/07  , 🔦 Cerco perimetral , • , DESCRIPCIÓN: , 🍂 Sala-comedor , 🍂 Cocina🥡🥣🥗 , 🍂 Baño de visitas🪞 , 🍂 03 dormitorios🛏 , 🍂 01 baño incorporado🛁 , 🍂 01 baño compartido🚿 , 🍂 Terraza⛱🌈 , 🍂 Patio interior🪣 , 🍂 Huerta árboles frutales🪧 , 🍂 Zona de estacionamiento  ,      para 04 carros (pero el ,      terreno permite que entren ,      más) 🚘🚖🚜 , 🍂 Piscina🤽‍♀️🤽‍♂️ , 🍂 Parrilla🔥 , 🍂 Horno de barro🛖 , 🍂 Chimenea♨️ , 🍂 Depósito para material de ,       Jardinería y mantenimiento ,       de la piscina🪣🧰 , • , 🔜 Mayores informes⬇️   ,      ☎️",,"Amoblado: Amoblado,Niños permitidos,Mascotas permitidas,Piscina","Año de construcción: 1,917,Seguridad privada,Caseta de vigilancia,BBQ,Jardín,Terraza",Cerca a avenidas principales
"Casa en venta La Tinguiña, Ica, Perú",90 casas en venta en Ica Departamento,"58,000","La tinguiña, ica, perú",106.2m2,5 Habitaciones,2 Baños,"Se vende por motivo de viaje  casa de 2 pisos ubicada en el Centro Poblado Las Monjas Mz K-1 Lote 12 de la Tinguiña, cerca a la Av. el Mantaro y a 3 minutos de la Hiperbodega Precio Uno. ,  , AT: 106.20 m2 ,  , Distribución: , 1er Piso: Sala, Sala visita, 3 Cuartos, Cocina, Baño, Cochera (portón levadizo), 2 Escalares, Pozo subterráneo con motor (fuerza 4 pisos) , 2do Piso: 2 Dormitorios Amplios, Baño privado, Sala Amplia. , - Azotea cercada altura un metro y ","medio. , - Un tanque de agua de 1000 litros. , - Tarrajeado 70% del total.  ,  ,  Es tu oportunidad de disfrutar la seguridad, tranquilidad y cercanía en tu hogar.","Amoblado: Sin amoblar,Agua",Estacionamientos,"Cerca a avenidas principales,Cerca a Centro Comercial"
"Casa en venta Las Turquesas 183, Ica, Perú",90 casas en venta en Ica Departamento,"180,000","Las turquesas 183, ica, perú",160m2,4 Habitaciones,2 Baños,"SE VENDE LINDA CASA EN ZONA RESIDENCIAL DE ICA , Area: 160m2. Medidas: Frontal 8m y de fondo 20m. , Jr Las Turquesas Urb. Santa Rosa del Palmar , 2 pisos mas azotea , Se vende amoblado , 1er piso: Cochera, Sala Comedor amplio, Cocina con muebles altos y bajos, baño completo, estudio, lavanderia, patio pósterior. , 2do piso: 4 dorm amplios con closet, 1 baño completo. , Azotea: 3 ambientes con techo ligero. , Documentacion en regla, titulo en RRPP.",,"Amoblado: Semi-amoblado,Armario empotrado,Línea Blanca,Internet,Cuarto de Servicio,Agua","Año de construcción: 1,990,Estacionamientos,Terraza,Cisterna,Seguridad privada","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Urb. La Estancia De Santa María, Santa Rita, Ica, Perú",90 casas en venta en Ica Departamento,"92,521","Urb. la estancia de santa maría, santa rita, ica, perú",120m2,3 Habitaciones,3 Baños,"En venta casa  en la Estancia de Santa María de Menorca, cuenta con con todas sus instalaciones, ubicado cerca a la panamericana y dentro de un condominio cerrado. EL proyecto se encuentra totalmente urbanizado con pistas, veredas, iluminación, instalación de agua y desagüe, portal de ingreso y alameda central con áreas verdes ya que es un proyecto ecológico. , El condominio ESTANCIA DE SANTA MARIA es desarrollado por Menorca y se ubica muy cerca d","e la plaza central y cerca a todos los puntos principales de ICA. ,  ,  AT: 120 M2  ,  AC: 120 M2  ,  , Distribución:  , 1er Piso: 1 cochera, , 3 habitaciones, 3 baños, 1 sala, 1 cocina tipo americana.  , Beneficios: , * Cuenta con pórtico de seguridad por las 2 salidas. , * Cuenta con campo artificial y loza deportiva.  , * Sobre todo el mejor precio de la zona!!!! ,  , Nota: La casa tiene una cimentación para 5 pisos , cuenta con título de propiedad inscrito en registros púbicos y con todos los servicios básicos.","Amoblado: Sin amoblar,Agua",Estacionamientos,"Cerca a avenidas principales,Cerca de parques"
"Casa en venta Calle Los Jazmines, Ica, 11001, Per",90 casas en venta en Ica Departamento,"200,000","Calle los jazmines, ica, 11001, per",157.5m2,4 Habitaciones,4 Baños,"Céntrica, acogedora, amplia y bien Distribuida Casa en Venta en pleno Centro de Ica , Ubicación: Urbanización Las Mercedes - Calle Chiclayo , Área de Terreno: 157.50 m2 , Área Construida: 261.28 m2 ,  , Ubicada a sólo 3 minutos de la Plaza de Armas en una de las Urbanizaciones más tradicionales de la ciudad, a escasos metros del Colegio San José, y próximo a la Av San Martín y J. J. Elías. La propiedad se ubica en esquina, lo que permite aprovechar su dobl","e frente; consta de 02 pisos, con tres puertas de ingreso y una amplia cochera techada como para 02 carros. Cuenta también con excelentes acabados, amplios ambientes, estupenda iluminación natural, excelente ventilación cruzada e incluso un ambiente tipo tienda. ,  , A continuación la distribución y detalles del inmueble: , PRIMER PISO , - Amplia cochera techada con espacio para 02 vehículos , - Jardín posterior , - Hall de ingreso , - 01 cuarto de estudio , - 01 tienda , - 01 baño completo , - Sala , - Comedor , - Zona de lavandería con tendal , - Cocina con reposteros altos y bajos de madera ,  , SEGUNDO PISO , - Hall de distribución , - 03 habitaciones amplias , - 01 habitación principal con baño completo privado , - 01 baño completo , - Balcón ,  , AZOTEA , - 01 ambiente o habitación , - 01 baño incompleto , - Zona de tendal ,  , Excelente alternativa a un precio increible","Amoblado: Sin amoblar,Balcón,Línea Blanca,Agua","Año de construcción: 1,992,Estacionamientos,Terraza,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Urb Virgen De Chapi, Avenida Camino A La Huega, Ica, Perú",90 casas en venta en Ica Departamento,"260,000","Urb virgen de chapi, avenida camino a la huega, ica, perú",240m2,6 Habitaciones,5 Baños,"Se vende amplia casa de 2 pisos en la urb. Virgen de chapi en la misma avenida principal de la huega, rodeado de urbanizaciones privadas y condominios. Ubicado a 2 minuto de Huacachina, colegios, institutos, universidades, mini markets, c.c. el quinde, promart, plaza vea y a 10 minutos de la plaza central de ICA.  ,  , AT: 240 m2 (Frontis: 16mt x Fondo: 15mt) , AC: 230 m2 ,  , Distribución:  ,  , 1er Piso: 3 habitaciones c/u con baño y closet, 1 baño de visita",", sala, comedor, cocina, tienda pequeña con puerta a calle, patio con área verdes de 100 m2 y cochera. ,  , 2do Piso: 1 habitación principal c/baño, walking closet y balcón, 2 habitaciones con c/baño y closet y área de lavandería.  ,  , Nota: La casa tiene poco tiempo de antigüedad, cuenta con tanque elevado y con toda la documentación en regla inscrita en registros públicos.","Armario empotrado,Línea Blanca,Cuarto de Servicio,Agua",,"Cerca a avenidas principales,Cerca a Centro Comercial,Cerca a Centro Comercial"
"Casa en venta Jeronimo De Cabrera, Urb Luren, Ica, Perú",90 casas en venta en Ica Departamento,"290,000","Jeronimo de cabrera, urb luren, ica, perú",500m2,5 Habitaciones,4 Baños,"Se pone en venta una amplia casa con una excelente ubicación en el centro de ICA, frente al mercado de Manzanilla, a una cuadra del Instituto de ingles ICPNA, la Cevichera la Choza Náutica  y frente al parque de Nicolás de Rivera el Viejo. La propiedad esta a 5 minutos del Centro Comercial Plaza el Sol y de la Plaza Central de ICA.  ,  , AT: 500 M2 ,  , Distribución:  , - 1er piso: 1 Sala, 1 Comedor, 1 cocina,, 2 baños, 1 patio amplio, 1 Hall, 1 Consultori","o, 1 cuarto de almacén, área de cochera para 3 carros y un amplio patio.   , - 2do piso:  4 cuartos con ropero empotrado, 1 Cuarto con baño y walking closet, 1 baño independiente y balcón. ,  , Nota: La propiedad se encuentra saneado en documentación lista para la venta .","Amoblado: Sin amoblar,Armario empotrado,Agua","Estacionamientos,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Urb San Martin De Porres, Pisco, Perú",90 casas en venta en Ica Departamento,"300,000","Urb san martin de porres, pisco, perú",160m2,18 Habitaciones,9 Baños,"OPORTUNIDAD DE INVERSION: SE VENDE EDIFICIO COMPLETO , Edificio de 5 pisos con 9 DEPARTAMENTOS FRENTE A PARQUE, a una cuadra de la Av. Alcides Vigo y Av. Santa Rosa. Rodeado de parques y mercados cercanos como MERCADO LOS CHASQUIS, TAMBO, toda la avenida está llena de negocios.  ,  , Los precios que paga la demanda por cada departamento independizado es:  ,  , PRIMER PISO 2 : $ 55,000 dólares cada departamento  , SEGUNDO PISO 2 : $ 50,000 dólares cada depart","amento.   , TERCER PISO 2 : $ 45,000 dólares cada departamento   , CUARTO PISO 2 : $ 40,000 dólares cada departamento  , QUINTO PISO 1 : $ 35,000 dólares  ,  , Ingreso por la venta de todos los departamentos: $ 415,000 dólares y lo compras a solo $ 300,000 dólares y lo mejor ESCUCHAMOS OFERTAS, ESTA ES TU GRAN OPORTUNIDAD DE INVERSION. ,  , A.T. 160 M2  , A.C. 656.23 M2  ,  , Cada departamento mide 74.20 M2 de A.C. y cuentan con: Sala - comedor - cocina con buena iluminación y ventilación - 02 habitaciones - 01 baño completo - lavandería.  ,  , En el 5to piso tenemos la terraza, zona de parrilla, tendal y tanque elevado. ,  , ¡NO DEJES PASAR ESTA GRAN OPORTUNIDAD, LLAMA Y AGENDA TU VISITA!",,"Año de construcción: 2,011,Terraza","Cerca a avenidas principales,Cerca de parques"
"Casa en venta Urb Valle Hermoso, Ica, Perú",90 casas en venta en Ica Departamento,"170,000","Urb valle hermoso, ica, perú",148m2,6 Habitaciones,6 Baños,"En venta casa en esquina en Urb. Valle Hermoso, una urbanización cerrada la cual cuenta con seguridad las 24 horas del día, dentro de la urbanización hay campo de futbol, parque y juego para niños, muy cerca del colegios, institutos, universidades, minimarket´s, centro comercial EL QUINDE, a 2 minutos de huacachina y a 5 minutos de la plaza central de ICA.  ,  , AT: 148.5 M2 , AC: 250 M2 ,  , Distribución:  ,  , 1er Piso: 1 habitacion amplia c/baño y c/closet,"," 1 habitacion de visita, 1 baño de visita, sala, comedor, cocina, patio interno, area de lavanderia y cochera.  , 2do Piso: 1 habitacion ampllia c/baño y c/closet, 2 habitaciones c/closet, 1 baño competo, sala star y balcon.  , 3er Piso: 1 habitación amplia de visita c/baño y c/closet, 1 baño completo, terraza, área de lavandería y tendedero.","Amoblado: Semi-amoblado,Armario empotrado,Cuarto de Servicio","Estacionamientos,Terraza","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Paracas, Perú",90 casas en venta en Ica Departamento,"650,000","Paracas, perú",572m2,7 Habitaciones,7 Baños,"LINDA Y COMODA CASA DE PLAYA EN PARACAS, EXCELENTE UBICACIÓN ,  , TOTALMENTE AMOBLADA Y EQUIPADA , AREA TOTAL: 572 M2 , AREA CONSTRUIDA: 500 M2 , UBICACIÓN: CONDOMINIO VIENTO SUR, PARACAS, ICA. A POCOS PASOS DEL HOTEL HILTON Y  ESCUELAS DE KITE , PRECIO DE VENTA; $ 650,000 , MANTENIMIENTO: S/. 750.00 , COCHERA PARA DOS AUTOS, MAS 4 ESPACIOS EN EL ESTACIONAMIENTO , AREA COMUNES: 2 PISCINAS, SALON DE JUEGOS Y JARDIN , DESCRIPCION: ,  , BAJOS , 4 DORMITORIOS , 3 BANIOS, UNO DE"," VISITA , SALA, COMEDOR. OPEN KITCIIEN CON MOSTRADOR AMPLIO, DESPENSA , JARDIN INTERNO, TERRAZA AMPLIA CON PARRILLA, MESA Y MUEBLES, AREA DE LAVANDERIA CON LAVADORA/SECADORA AREA DE SERVICIO; DORMITORIO CON CAMA OUEEN Y DOS SIMPLES COCINA Y BANIO ENTRADA INDEPENDIENTE POR LA COCHERA. ,  , ALTOS , 3 DORMITORIOS. UNO CON TERRAZA, OTRO CON BALCON , 3 BANIOS INCORPORADOS , SALA, COMEDOR, OPEN KITCHEN CON MOSTRADOR AMPLIO. TERRAZA AMPLIA CON PARRILLA Y HORNO DE PAN","Amoblado: Amoblado,Balcón,Armario empotrado,Línea Blanca,Internet,Cuarto de Servicio,Agua,Piscina","Estacionamientos,Terraza,Cisterna,Acceso a discapacitados,Jardín,BBQ,Caseta de vigilancia,Seguridad privada",Cerca al mar
"Casa en venta Urb San Isidro, Ica, Perú",90 casas en venta en Ica Departamento,"300,000","Urb san isidro, ica, perú",196.8m2,9 Habitaciones,6 Baños,"Venta de amplia casa de 3 pisos y azotea en la Urb. San Isidro ubicado frente a MC GRILL y a media cuadra de la Av. San Martin, cuenta con muy buenas distribuciones internas y con una muy buena ubicación para vivienda o desarrollo de proyecto para cualquier tipo de empresa, muy cerca de los puntos principales del centro de ICA y a 1 minuto de C.C Plaza el Sol, cerca de las universidades, bancos, cajas, institutos, colegios, tiendas comerciales, 6"," minutos de huacachina y a 5 minutos de la plaza central de ICA.  ,  , AT: 196.80 m2 , AC: 420 m2  ,  , Distribución: ,  , 1er Piso: Sala, comedor, cocina con muebles bajos, 2 habitaciones c/closet, 1 baño completo, barra para bar, 1 amplio jardín interno con gruta, 1 jardín externo, 1 cochera y 1 entrada de servicio con acceso a pisos superiores.  ,  , 2do Piso: 4 Habitaciones c/closet, 3 baños completos y sala star. ,  , 3er Piso: 1 habitación amplia c/baño y c/closet, 2 habitaciones c/closet, 1 baño completo, área de lavandería y espacio para colocar un pequeño parque interno.  ,  , 4to Piso: Azotea y área de tendedero.  ,  , Nota: La casa cuenta con toda la documentación en regla para una venta inmediata y cuenta con tanque bajo, tanque alto y con terma eléctrica.","Amoblado: Semi-amoblado,Balcón,Armario empotrado,Línea Blanca,Cuarto de Servicio,Agua","Estacionamientos,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Cusco Distrito, Cusco",26 casas en venta en Cusco Departamento,"682,500",Cusco,455m2,,,"VENDO LOTE CON CASITA 455 M2 SANTIAGO CUSCO PERU ,  , Bonito lote con doble frontis, desde el pasaje esmeralda hasta Luis Uzategui. La propiedad se presta para cualquier tipo de inversión hotel, condómino de vivienda, etc. ,  , Por la ubicación en desnivel cuenta con una hermosa vista a la ciudad del cusco, así mismo a los alrededores cuenta con servicio de transporte público, bancos, centros comerciales, colegios, hospitales, etc. ,  , Documentación saneada con titulo independizado inscripto en registros públicos del cusco.  ,  ,   ,  , Para hacer visitas a este inmueble contactarse al +51980 97----", YENI FLORES,,"Gimnasio,Oficina,Seguridad privada","Cerca de parques,Vista panorámica"
"Casa en venta Ollantaytambo, Urubamba",26 casas en venta en Cusco Departamento,"6,500,000","Ollantaytambo, Urubamba, Cusco",,30 Habitaciones,,PHA+RXhjZWxlbnRlIHViaWNhY2kmb2FjdXRlO24hISEgUHVudG8gZGUgcGFydGlkYSBkZWwgQ2FtaW5vIGRlbCBJbmNhLCBlc3RlIGhvdGVsIGVzIHViaWNhZG8gZW4gZWwgVmFsbGUgU2FncmFkbyBkZWwgVXJ1YmFtYmEsIGVuIGVsIGRpc3RyaXRvIGRlIE9sbGFudGF5dGFtYm8sIGEgc29sbyAxIGN1YWRyYSBkZSBsYSBlc3RhY2kmb2FjdXRlO24gZGVsIHRyZW4gcXVlIHZhIGEgTWFjaHUgUGljY2h1LiBFbCBob3RlbCBvZnJlY2UgdmlzdGFzIGVzcGVjdGFjdWxhcmVzIHRhbnRvIGRlIGQmaWFjdXRlO2EgY29tbyBkZSBub2NoZSwgYWwgdGllbXBvIHF1ZSBvZnJlY2UgYSBsb3MgaHUmZWFjdX,RlO3NwZWRlcyB1biBleGNlbGVudGUgc2VydmljaW8geSBleHBlcmllbmNpYXMgJnVhY3V0ZTtuaWNhcyBjb21iaW5hZGFzIGNvbiBjdWx0dXJhIHkgbmF0dXJhbGV6YS4gRXMgdW5hIHB1ZXJ0YSBhbCBwYXJhJmlhY3V0ZTtzbyBwYXJhIHZpc2l0YW50ZXMgZGUgdG9kbyBlbCBtdW5kby4gRW50cmUgZWwgMjAyMyB5IDIwMjcsIHNlIGVzcGVyYSBxdWUgbG9zIGluZ3Jlc29zIHBvciB2aWFqZXMgeSB0dXJpc21vIGVuIFBlciZ1YWN1dGU7IGNyZXpjYW4gYSB1bmEgdGFzYSBhbnVhbCBkZWwgNSwyNiUsIGxvIHF1ZSBzZSB0cmFkdWNpciZhYWN1dGU7IGVuIDIuMiBtaWwgbWlsbG9uZXMgZGUgZCZvYWN1dGU7bGFyZXMgZW4gZWwgMjAyNy4gR3JhbiBwYXJ0ZSBkZSBlc2UgZGluZXJvIGxvIGdhc3RhciZhYWN1dGU7biBsYXMgbSZhYWN1dGU7cyBkZSB1biBtaWxsJm9hY3V0ZTtuIGRlIHBlcnNvbmFzIHF1ZSB2aXNpdGFuIE1hYWNodSBQaWNodSBjYWRhIGEmbnRpbGRlO28uPC9wPg0KPHA+JmJ1bGw7SG90ZWwgMyBlc3RyZWxsYXM8YnI+JmJ1bGw7MjMgYSZudGlsZGU7b3MgZW4gc2VydmljaW88YnI+JmJ1bGw7MzggaGFiaXRhY2lvbmVzOiAxIFN1aXRlLCA3IGhhYml0YWNpb25lcyBzdXBlcmlvcmVzIHkgMzAgc3RhbmRhcmQuPGJyPiZidWxsO0FUOiAxMSwgNTUwIG0yPGJyPiZidWxsO0FDOiAyLDYxNSBtMjxicj4mYnVsbDsgQSA5MCBrbSBkZSBDdXNjbzwvcD4NCjxwPiZidWxsO1VuYSBhbXBsaWEgeSBhY29nZWRvcmEgc2FsYSBkZSBlc3RhciwgZGUgdGVjaG9zIGFsdG9zIHkgcGlzb3MgZGUgbWFkZXJhPGJyPiZidWxsOyBVbmEgc2FsYSBkZSB0diB5IHNhbGEgZGUgbGVjdHVyYS48YnI+JmJ1bGw7IDMgYW5kZW5lcyBJbmNhcyBlbiBsb3MgcXVlIHBvZHImYWFjdXRlO24gcmVhbGl6YXIgYWxtdWVyem9zIGRlIGdydXBvIHkgb3RyYXMgYWN0aXZpZGFkZXMsIGRvbmRlIHNlIHB1ZWRlIHZlciBsYSBmb3J0YWxlemEgZGUgT2xsYW50YXl0YW1ibywgZWwgVHVudXBhIHkgZWwgTmV2YWRvIExhIFZlciZvYWN1dGU7bmljYS4mbmJzcDs8YnI+UHJlY2lvIGRlIHZlbnRhOiAkNiw1MDAsMDAwPC9wPg0KPHA+KkVsIHByZWNpbyBjb25zaWRlcmEgZWwgdmFsb3IgZGVsIHRlcnJlbm8sIHZhbG9yIGNvbWVyY2lhbCwgeSBvdHJvcyBjb21vIGVzdHJ1Y3R1cmFzLCBhbW9ibGFkb3MgeSBlcXVpcGFtaWVudG8uPC9wPg0KPHA+TGEgT3Ryb3MgZXMgdXNhZGEsIGNvbnN0cnVpZGEgaGFjZSAyMyBhJm50aWxkZTtvcyB5IGVsIGVzdGFkbyBhY3R1YWwgZGVsIGlubXVlYmxlIGVzOiBNdXkgYnVlbm8uIFN1IHVzbyBwdWVkZSBzZXIgcGFyYTogSG90ZWwuIFBvc2VlIFZpc3RhIGEgSmFyZCZpYWN1dGU7bi4gTGEgcHJvcGllZGFkIGVzdCZhYWN1dGU7IGNvbnN0aXR1aWRhIHBvciB1biAmYWFjdXRlO3JlYSBkZSBUZXJyZW5vIGRlIDExNTQ5IG0yLCAyNjE1IG0yIGRlICZhYWN1dGU7cmVhIGNvbnN0cnVpZGEuIEVuIGN1YW50byBhIGhhYml0YWNpb25lcyBjdWVudGEgY29uIDMwIGVzcGFjaW9zLjwvcD4=,Amoblado: Amoblado,,
"Casa en venta Wanchaq, Cusco",26 casas en venta en Cusco Departamento,"2,578,300","Wanchaq, Cusco",,3 Habitaciones,2 Baños,CASA QUE SE VENDE COMO TERRENO CON DOS FRENTES IDEAL PARA HACER CENTRO COMERCIAL O EDIFICIO DE VIVIENDA A 20 MINUTOS DE LA PLAZA DE ARMAS,,"Área útil: 1,357",,
"Casa en venta Urubamba, Cusco, Perú",26 casas en venta en Cusco Departamento,"400,000","Urubamba, cusco, perú",180m2,3 Habitaciones,4 Baños,"Vendo linda casa , Condominio privado A1 , super lindo y seguro, , AC 100mt2 , At 180mt2 , Condominio privado de solo 4 casas",,"Amoblado: Semi-amoblado,Balcón,Armario empotrado,Línea Blanca,Chimenea,Calefacción,Agua","Estacionamientos,Terraza,Cisterna,Acceso a discapacitados,Jardín,BBQ,Caseta de vigilancia,Seguridad privada","Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Cusco Distrito, Cusco",26 casas en venta en Cusco Departamento,"280,000",Cusco,200m2,,3 Baños,"VENDO CASA LOTE DE 168.50 M2 OCCHULLO GRANDE CERCADO CUSCO PERU ,  , Vendo bonito lote de 168.50 M2 con casita de adobe, 7.8 metros de frontis, ubicado entre la Av. Argentina y el Parque España de Occhullo Grande, cercado de la ciudad de Cusco, la propiedad se encuentra en una ubicación muy estratégica por encontrarse a espaldas de la Universidad San Antonio Abaad del Cusco, Hospital Regional de Cusco, colegios, centro comercial Real Plaza, Mercados y otros. ,  , La Propiedad, cuenta con la documentación saneada por lo que puede ser financiada con cualquier entidad financiera (bancos cajas municipales, cooperativas) ,  , Para programar visita a la propiedad hacer cita con el Sr. Willian Sunción al teléfono (0051) 98469----",,,,Cerca de parques
"Casa en venta Villa Higuspucro, Urubamba, Perú",26 casas en venta en Cusco Departamento,"450,000","Villa higuspucro, urubamba, perú",245m2,3 Habitaciones,3 Baños,"A una hora de camino de la ciudad del Cusco y a walking distance (8 min) del Pueblo del Urubamba en el Valle Sagrado y cerca al Tambo del Inca, rodeada de campos de cultivo, terrazas incas y hermosos paisajes, Usted ingresará por una preciosa trocha que lo llevará a esta hermosa Casa de Campo en Venta de 2 pisos, lista para vivir en ella, ubicada en el Condominio Privado Higuspucro... con sólo 8 casas y áreas comunes que destacan por el paisajism","o logrado tras 18 de años de mantenimiento con mucho cariño. La casa es muy acogedora, impecable, levemente elevada por 2 escalones para protección de la lluvia, rodeada de hortencias y flora local, con 245m2 de área construida lo que la hace muy funcional. En la primera planta cuenta con una hermosa sala con chimenea, comedor separado con techos altísimos de doble altura y de 2 aguas; la cocina es integrada en este acogedor ambiente, un baño de visitas y el amplio dormitorio principal con un hermoso bay window y un cómodo baño principal. El dormitorio principal tiene vista a los jardines del área central del condominio. La sala tiene salida a una terraza con BBQ y un jardín. En la segunda planta se encuentran los otros dos dormitorios (son 3 completos en total), cada uno con su baño incorporado, uno con 3 camas y el otro con 2 camas. La casa actualmente puede albergar a 7 personas. Al medio de los dormitorios se encuentra una salita de estar que tiene vista directa a la sala del primer piso ya que tiene doble altura y salida a un hermoso balcón ""roba suspiros"" con hermosa vista a los jardines. La casa tiene 16 años de antigüedad; los actuales propietarios la compraron hace 8 años y la remodelaron con muy buen gusto, optimizando los espacios. El condominio cuenta con administración, jardinero, y guardianía 24 hrs. Todas las casas son del mismo estilo para mantener la línea cusqueña diseñada por el Arquitecto Carlos Rey. Cuenta con 1 estacionamiento. , Observación: , La casa se vende con algunos muebles, camas, línea blanca, no se venden alfombras, comedor, respaldar cama principal y muebles antiguos de colección. , El condominio está a 19kms de Ollantaytambo (estación de tren e Machu Picchu y a 40kms de Pisac, rodeada de campos, terrazas incas y restos del Palacio Huayna Capac. ,  , Características , Jardín , Jardín , Terraza , Chimenea , Patio , Cerca a Parque , Balcón , Parrilla , Áreas Comunes , Portero , Seguridad 24 Horas","Balcón,Chimenea","Año de construcción: 2,006,Estacionamientos,Terraza,Jardín",
"Casa en venta Huayllabamba, Urubamba",26 casas en venta en Cusco Departamento,"242,775","Huayllabamba, Urubamba, Cusco",204m2,,2 Baños,"VENDO CASA DE CAMPO 328 M2 EN CONDOMINIO HUAYOCARI URUBAMBA CUSCO ,  , Villa Amadeus ,  , Ubicado en Huayllabamba a100 Metros de la vía principal, con un hermoso panorama con buenas vistas del amanecer y atardecer y al nevado Pitusiray. Especial diseño de arquitecto.  ,  , terreno distribuido para 4 lotes se vende con una propuesta de construcción total en 204 M2 más áreas verdes incluye cochera. ,  , Cuenta con los Servicios de luz, agua y desagüe ,  , Así mismo esta propiedad cuenta con documentos: inscrito en registros públicos como derechos y acciones. ,  , Para programar visita a la propiedad hacer cita con el Sr. Adrián Sunción al teléfono: +51-98762----",.,"Balcón,Chimenea,Jacuzzi,Cuarto de Servicio","Estacionamientos,Jardín,BBQ","Cerca de parques,Vista panorámica"
